Slice,Mean
825,487.221
826,494.548
827,444.495
828,524.635
829,532.774
830,522.13
831,490.067
832,446.75
833,452.385
834,480.514
835,494.793
836,536.851
837,485.851
838,471.668
839,447.101
840,456.822
841,506.817
842,520.067
843,518.736
844,494.779
845,466.928
846,535.236
847,518.26
848,552.264
849,477.399
850,450.962
851,462.298
852,505.678
853,535.188
854,541.231
855,499.851
856,482.697
857,441.49
858,458.788
859,497.644
860,539.399
861,508
862,479.072
863,486.514
864,453.322
865,513.683
866,534.38
867,522.606
868,492.933
869,447.26
870,411.615
871,459.654
872,513.163
873,530.87
874,492.654
875,474.111
876,463.053
877,460.865
878,462.38
879,481.755
880,527
881,508.755
882,479.346
883,438.947
884,447.942
885,481.438
886,514.529
887,526.683
888,481.62
889,478.712
890,452.659
891,478.043
892,548.856
893,541.942
894,489.736
895,480.986
896,476.308
897,495.438
898,565.087
899,540.899
900,510.904
901,494.966
902,445.562
903,477.207
904,503.168
905,552.462
906,539.548
907,532.106
908,484.005
909,493.587
910,485.966
911,506.457
912,531.173
913,517.293
914,469.438
915,480.827
916,454.678
917,492.005
918,506.279
919,482.928
920,476.077
921,474.173
922,463.731
923,447.226
924,495.279
925,492.144
926,489.087
927,512.048
928,445.779
929,418.154
930,485.337
931,520.731
932,456.865
933,486.173
934,457.889
935,433.928
936,467.889
937,515.26
938,500.312
939,483.197
940,489.986
941,437.399
942,436.572
943,511.625
944,539.606
945,517.889
946,475.668
947,443.303
948,466.269
949,506.014
950,514.101
951,506.611
952,459.712
953,448.856
954,464.25
955,495.284
956,501.087
957,473.279
958,461.567
959,459.293
960,444.688
961,461.476
962,510.149
963,544.418
964,516.476
965,508.548
966,472.534
967,463.423
968,471.072
969,552.558
970,475.346
971,497.764
972,500.269
973,457.341
974,444.111
975,508.688
976,515.351
977,431.159
978,462.106
979,425.327
980,445.769
981,462.192
982,514.163
983,538.822
984,493.106
985,477.947
986,490.774
987,452.817
988,450.601
989,503.139
990,518.048
991,523.529
992,482.885
993,446.524
994,463.625
995,551.399
996,481.736
997,470.067
998,451.428
999,436.918
1000,450.26
1001,480.986
1002,497.245
1003,547.75
1004,504.856
1005,477.572
1006,443.952
1007,418.019
1008,440.952
1009,493.361
1010,485.389
1011,484.38
1012,469.639
1013,446.861
1014,479.966
1015,509.764
1016,480.803
1017,502.111
1018,469.534
1019,457.99
1020,476.837
1021,495.692
1022,528.861
1023,483.236
1024,512.418
1025,444.62
1026,461.913
1027,412.745
1028,468.365
1029,505.514
1030,528.019
1031,514.019
1032,474.144
1033,456.385
1034,435.904
1035,482.558
1036,482.029
1037,482.942
1038,499.952
1039,489.082
1040,445.019
1041,446.76
1042,528.462
1043,531.817
1044,484.053
1045,483.375
1046,511.288
1047,443.476
1048,471.74
1049,495.88
1050,503.745
1051,485.75
1052,471.452
1053,468.846
1054,478.562
1055,582.284
1056,540.981
1057,512.163
1058,543.149
1059,526.125
1060,478.394
1061,424.582
1062,507.154
1063,539.529
